[2023-02-23T08:50:36.448] [INFO] access - path:/api/basic/enum/create | method:POST | ua:apifox/1.0.0 (https://www.apifox.cn)
[2023-02-23T08:59:23.661] [INFO] access - path:/api/basic/enum/update | method:PUT | ua:apifox/1.0.0 (https://www.apifox.cn)
[2023-02-23T08:59:28.155] [INFO] access - path:/api/basic/enum/update | method:PUT | ua:apifox/1.0.0 (https://www.apifox.cn)
[2023-02-23T08:59:33.463] [INFO] access - path:/api/basic/enum/update | method:PUT | ua:apifox/1.0.0 (https://www.apifox.cn)
[2023-02-23T08:59:54.494] [INFO] access - path:/api/basic/enum/update | method:PUT | ua:apifox/1.0.0 (https://www.apifox.cn)
[2023-02-23T09:00:07.386] [INFO] access - path:/api/basic/enum/update | method:PUT | ua:apifox/1.0.0 (https://www.apifox.cn)
[2023-02-23T09:01:19.135] [INFO] access - path:/api/basic/enum/update | method:PUT | ua:apifox/1.0.0 (https://www.apifox.cn)
[2023-02-23T09:01:41.328] [INFO] access - path:/api/basic/enum/update | method:PUT | ua:apifox/1.0.0 (https://www.apifox.cn)
[2023-02-23T09:01:53.444] [INFO] access - path:/api/basic/enum/update | method:PUT | ua:apifox/1.0.0 (https://www.apifox.cn)
[2023-02-23T09:03:15.397] [INFO] access - path:/api/basic/enum/update | method:PUT | ua:apifox/1.0.0 (https://www.apifox.cn)
[2023-02-23T09:04:10.325] [INFO] access - path:/api/basic/enum/update | method:PUT | ua:apifox/1.0.0 (https://www.apifox.cn)
[2023-02-23T09:05:06.297] [INFO] access - path:/api/basic/enum/update | method:PUT | ua:apifox/1.0.0 (https://www.apifox.cn)
[2023-02-23T09:05:58.906] [INFO] access - path:/api/basic/enum/update | method:PUT | ua:apifox/1.0.0 (https://www.apifox.cn)
[2023-02-23T09:06:03.020] [INFO] access - path:/api/basic/enum/create | method:POST | ua:apifox/1.0.0 (https://www.apifox.cn)
[2023-02-23T09:06:12.814] [INFO] access - path:/api/basic/enum/create | method:POST | ua:apifox/1.0.0 (https://www.apifox.cn)
[2023-02-23T09:06:55.891] [INFO] access - path:/api/basic/enum/create | method:POST | ua:apifox/1.0.0 (https://www.apifox.cn)
[2023-02-23T09:07:21.953] [INFO] access - path:/api/basic/enum/create | method:POST | ua:apifox/1.0.0 (https://www.apifox.cn)
[2023-02-23T09:11:35.984] [INFO] access - path:/api/basic/enumType/create | method:POST | ua:apifox/1.0.0 (https://www.apifox.cn)
[2023-02-23T09:11:49.229] [INFO] access - path:/api/basic/enumType/create | method:POST | ua:apifox/1.0.0 (https://www.apifox.cn)
[2023-02-23T09:12:17.521] [INFO] access - path:/api/basic/enum/create | method:POST | ua:apifox/1.0.0 (https://www.apifox.cn)
[2023-02-23T09:12:39.989] [INFO] access - path:/api/basic/enum/create | method:POST | ua:apifox/1.0.0 (https://www.apifox.cn)
[2023-02-23T09:14:29.441] [INFO] access - path:/api/basic/enum/create | method:POST | ua:apifox/1.0.0 (https://www.apifox.cn)
[2023-02-23T09:14:41.086] [INFO] access - path:/api/basic/enum/create | method:POST | ua:apifox/1.0.0 (https://www.apifox.cn)
[2023-02-23T09:15:27.840] [INFO] access - path:/api/basic/enum/update | method:PUT | ua:apifox/1.0.0 (https://www.apifox.cn)
